TSW:11:006:V	He says, "Baby, is something wrong?"
TSW:11:007:V	I say, "Nothin', I was just thinkin'
TSW:11:008:V	How we don't have a song"
TSW:11:009:V	And he says
TSW:11:010:C	Our song is a slamming screen door
TSW:11:011:C	Sneakin' out late, tapping on your window
TSW:11:012:C	When we're on the phone and you talk real slow
TSW:11:013:C	'Cause it's late and your mama don't know
TSW:11:014:C	Our song is the way you laugh
TSW:11:015:C	The first date, "Man, I didn't kiss her and I should have"
TSW:11:016:C	And when I got home, 'fore I said, "Amen"
TSW:11:017:C	Askin' god if he could play it again
TSW:11:018:V	I was walking up the front porch steps
TSW:11:019:V	After everything that day
TSW:11:020:V	Had gone all wrong and been trampled on
TSW:11:021:V	And lost and thrown away
TSW:11:022:V	Got to the hallway, well on my way to my lovin' bed
TSW:11:023:V	I almost didn't notice all the roses
TSW:11:024:V	And the note that said
TSW:11:025:C	Our song is a slamming screen door
TSW:11:026:C	Sneakin' out late, tapping on your window
TSW:11:027:C	When we're on the phone and you talk real slow
TSW:11:028:C	'Cause it's late and your mama don't know
TSW:11:029:C	Our song is the way you laugh
TSW:11:030:C	The first date, "Man, I didn't kiss her and I should have"
TSW:11:031:C	And when I got home, 'fore I said, "Amen"
TSW:11:032:C	Askin' god if he could play it again
TSW:11:033:C	Da-da-da-da
TSW:11:034:B	I've heard every album, listened to the radio
TSW:11:035:B	Waited for somethin' to come along
TSW:11:036:B	That was as good as our song
TSW:11:037:C	'Cause our song is a slamming screen door
TSW:11:038:C	Sneakin' out late, tapping on his window
TSW:11:039:C	When we're on the phone and he talks real slow
TSW:11:040:C	'Cause it's late and his mama don't know
TSW:11:041:C	Our song is the way he laughs
TSW:11:042:C	The first date, "Man, I didn't kiss him and I should have"
TSW:11:043:C	And when I got home, 'fore I said, "Amen"
TSW:11:044:C	Askin' god if he could play it again
TSW:11:045:C	Play it again, oh yeah
TSW:11:046:C	Oh-oh, yeah
TSW:11:047:I	I was ridin' shotgun with my hair undone
TSW:11:048:I	In the front seat of his car
TSW:11:049:I	I grabbed a pen and an old napkin
TSW:11:050:I	And I wrote down our song
TSW:12:001:V	Friday night beneath the stars
TSW:12:002:V	In a field behind your yard
TSW:12:003:V	You and I are painting pictures in the sky
TSW:12:004:V	And sometimes, we don't say a thing
TSW:12:005:V	Just listen to the crickets sing
TSW:12:006:V	Everything I need is right here by my side
TSW:12:007:C	And I know everything about you
TSW:12:008:C	I don't wanna live without you
TSW:12:009:C	I'm only up when you're not down
TSW:12:010:C	Don't wanna fly if you're still on the ground
TSW:12:011:C	It's like no matter what I do
TSW:12:012:C	Well, you drive me crazy half the time
TSW:12:013:C	The other half, I'm only tryin' to
TSW:12:014:C	Let you know that what I feel is true
TSW:12:015:C	And I'm only me when I'm with you
TSW:12:016:V	Just a small-town boy and girl
TSW:12:017:V	Livin' in a crazy world
TSW:12:018:V	Tryna figure out what is and isn't true
TSW:12:019:V	And I don't try to hide my tears
TSW:12:020:V	My secrets or my deepest fears
TSW:12:021:V	Through it all, nobody gets me like you do
TSW:12:022:C	And you know everything about me
TSW:12:023:C	You say that you can't live without me
TSW:12:024:C	I'm only up when you're not down
TSW:12:025:C	Don't wanna fly if you're still on the ground
TSW:12:026:C	It's like no matter what I do
TSW:12:027:C	Well, you drive me crazy half the time
TSW:12:028:C	The other half, I'm only tryin' to
TSW:12:029:C	Let you know that what I feel is true
