"Word"	"PoSes"	"FqBand"	"OECRank"	"CEFRLevel"	"NextWord1"	"NextWord2"	"NextWord3"	"Length"	"Reps"	"Count"	"Verse"	"Bridge"	"Chorus"	"Refrain"	"InOut"	"Albums"	"Songs"	"AlbumOccurrences"
"there"	"Adve, Noun"	2	38	"A1"	"is#19"	"was#19"	"were#7"	5	0	219	55	27	105	0	32	12	82	"TSW#7, FER#22, SPN#12, RED#62, NEN#17, ...MANY"
"their"	"Arti"	1	39	"A1"	"heads#5"	"eyes#4"	"minds#3"	5	0	61	30	10	20	0	1	13	34	"TSW#2, FER#1, SPN#6, RED#1, NEN#6, ...MANY"
"what"	"Dete"	1	40	"A1"	"could've#12"	"died#12"	"people#9"	4	0	421	101	62	226	0	32	12	133	"TSW#24, FER#23, SPN#39, RED#38, NEN#39, ...MANY"
"so"	"Adve, Conj, Adje"	1	41	"A1"	"many#20"	"much#19"	"good#16"	2	18	555	135	76	281	18	45	13	164	"TSW#20, FER#67, SPN#50, RED#36, NEN#43, ...MANY"
"up"	"Adve, Prep, Adje, Noun, Verb"	1	42	"A1"	"your#7"	"just#6"	"real#6"	2	4	417	106	71	212	3	25	13	159	"TSW#14, FER#43, SPN#57, RED#44, NEN#27, ...MANY"
"out"	"Adve, Prep, Noun, Adje, Verb"	2	43	"A1"	"your#9"	"when#5"	"alive#4"	3	12	354	108	51	179	4	12	12	134	"TSW#8, FER#31, SPN#41, RED#24, NEN#97, ...MANY"
"if"	"Conj"	1	44	"A1"	"it's#24"	"i'm#17"	"you're#14"	2	0	417	86	62	249	0	20	12	121	"TSW#21, FER#27, SPN#37, RED#47, NEN#32, ...MANY"
"'bout"	"Prep, Cont"	1	45	"A1"	"your#5"	"how#1"	"somebody#1"	5	0	31	7	4	19	0	1	7	15	"TSW#3, FER#7, RED#5, NEN#3, LVR#2, ...MANY"
"about"	"Prep, Adve"	1	45	"A1"	"your#8"	"is#3"	"how#2"	5	0	168	55	20	79	5	9	12	80	"TSW#8, FER#6, SPN#14, RED#45, NEN#10, ...MANY"
"who"	"Pron"	1	46	"A1"	"could#12"	"are#6"	"should#4"	3	0	132	47	21	58	0	6	12	70	"TSW#3, FER#14, SPN#16, RED#12, NEN#4, ...MANY"
"get"	"Verb"	1	47	"A1"	"better#12"	"back#8"	"far#7"	3	0	189	46	32	99	0	12	12	83	"TSW#10, FER#8, SPN#12, RED#13, NEN#19, ...MANY"
"gets"	"Verb"	1	47	"A1"	"better#7"	"colder#3"	"hard#2"	4	0	36	8	3	24	0	1	9	14	"TSW#2, FER#8, SPN#1, RED#13, LVR#2, ...MANY"
"gettin'"	"Verb, Cont"	1	47	"A1"	"back#12"	"caught#3"	"down#2"	7	0	25	6	3	13	0	3	7	11	"TSW#1, FER#3, SPN#1, RED#13, NEN#3, ...MANY"
"getting"	"Verb"	1	47	"A1"	"through#4"	"married#2"	"back#1"	7	0	20	11	2	6	0	1	8	17	"FER#1, SPN#2, RED#9, LVR#2, FOL#1, ...MANY"
"got"	"Verb"	1	47	"A1"	"bad#16"	"lost#11"	"your#9"	3	0	262	70	20	160	5	7	13	98	"TSW#12, FER#25, SPN#20, RED#27, NEN#65, ...MANY"
"gotten"	"Verb"	1	47	"A1"	"used#1"	""	""	6	0	1	1	0	0	0	0	1	1	"SPN#1"
"which"	"Dete"	2	48	"A1"	"is#2"	"brought#1"	"led#1"	5	0	8	5	3	0	0	0	6	8	"SPN#2, REP#1, LVR#1, EVE#2, MID#1, ...MANY"
"go"	"Verb"	1	49	"A1"	"back#28"	"where#8"	"away#7"	2	3	249	46	31	151	0	21	12	85	"TSW#9, FER#18, SPN#35, RED#35, NEN#61, ...MANY"
"goes"	"Verb"	1	49	"A1"	"down#5"	"wild#1"	""	4	0	36	7	1	20	6	2	8	13	"TSW#4, FER#1, RED#4, NEN#2, REP#12, ...MANY"
"goin'"	"Verb, Cont"	1	49	"A1"	"down#6"	"back#1"	"badly#1"	5	0	17	9	1	7	0	0	6	11	"TSW#1, FER#3, SPN#2, NEN#1, MID#7, ...MANY"
"gone"	"Verb"	1	49	"A1"	"was#4"	"home#3"	"terribly#3"	4	8	60	23	8	28	0	1	11	27	"TSW#7, FER#6, SPN#13, RED#6, NEN#13, ...MANY"
"went"	"Verb"	1	49	"A1"	"mad#4"	"straight#2"	"wild#2"	4	0	36	13	5	17	0	1	11	21	"TSW#1, FER#2, SPN#5, RED#1, NEN#5, ...MANY"
"me"	"Pron"	1	50	"A1"	"like#37"	"now#25"	"away#18"	2	4	1604	362	278	867	13	84	13	226	"TSW#77, FER#173, SPN#134, RED#173, NEN#121, ...MANY"
"when"	"Conj, Adve"	2	51	"A1"	"you're#43"	"i'm#30"	"it's#20"	4	14	530	163	61	263	3	40	12	154	"TSW#35, FER#108, SPN#57, RED#59, NEN#56, ...MANY"
"made"	"Verb"	1	52	"A1"	"us#5"	"your#4"	"no#3"	4	0	136	30	23	79	0	4	12	52	"TSW#1, FER#3, SPN#13, RED#17, NEN#11, ...MANY"
"make"	"Verb, Noun"	1	52	"A1"	"your#5"	"no#3"	"some#3"	4	0	122	37	24	53	0	8	13	66	"TSW#8, FER#7, SPN#14, RED#6, NEN#12, ...MANY"
"makes"	"Verb, Noun"	1	52	"A1"	"love#3"	"everything#1"	"your#1"	5	0	27	13	3	8	0	3	10	16	"FER#5, SPN#4, RED#1, NEN#5, REP#4, ...MANY"
"can"	"Verb, Noun"	1	53	"A1"	"see#33"	"feel#20"	"still#14"	3	0	282	60	39	169	2	12	13	95	"TSW#10, FER#29, SPN#24, RED#29, NEN#35, ...MANY"
"like"	"Prep, Verb, Conj, Adje, Adve, Noun"	2	54	"A1"	"i'm#22"	"snow#19"	"we're#13"	4	0	702	216	75	365	8	38	13	186	"TSW#17, FER#51, SPN#65, RED#124, NEN#52, ...MANY"
"time"	"Noun, Verb"	1	55	"A1"	"i'm#26"	"you're#9"	"i'll#8"	4	12	395	98	55	201	0	41	13	129	"TSW#14, FER#38, SPN#46, RED#98, NEN#16, ...MANY"
"times"	"Noun, Verb"	1	55	"A1"	"'cause#2"	"before#2"	"like#2"	5	0	30	11	2	15	0	2	11	20	"TSW#1, FER#1, SPN#1, RED#5, NEN#3, ...MANY"
"times'"	"Noun"	1	55	"A1"	"sake#1"	""	""	6	0	1	0	1	0	0	0	1	1	"EVE#1"
